system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,sm_surface,.geo
308_0,15343.507042253521,3086.108695652174,0.15552537,0.20698494,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,23.082211225451108]}"
309_0,15381.180555555555,2946.391304347826,0.17327054,0.19103226,0.14509356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.75904643726065,23.01932915556274]}"
310_0,15354.3,1646.7826086956522,0.07957696,0.08484256,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53446761623077,23.064244919768715]}"
311_0,15364.152777777777,3587.804347826087,0.18358894,0.20662157,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.54345076907197,22.911531321468395]}"
312_0,15296.56,5310.5,0.24268797,0.32378572,0.14798085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.41768662929523,23.127126989657082]}"
313_0,15348.041666666666,4707.739130434783,0.23700595,0.301171,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71413067305467,22.96543023851557]}"
314_0,15415.527777777777,1988.195652173913,0.10466209,0.107895926,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.62429914464272,22.96543023851557]}"
315_0,15347.222222222223,3501.4347826086955,0.16512555,0.18900497,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.05526176692752]}"
316_0,15331.082191780823,4559.434782608696,0.19754359,0.30543724,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.45361924066,22.956447085674373]}"
317_0,15378.352112676057,3627.086956521739,0.19349124,0.26634622,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,23.0911943782923]}"
318_0,15315.608108108108,4270.978260869565,0.21487239,0.2827367,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.62429914464272,22.857632404421224]}"
319_0,15359.506849315068,4495.978260869565,0.22748815,0.30804762,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.74108013157826,23.010346002721544]}"
320_0,15340.097222222223,4400.282608695652,0.2025513,0.263564,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61531599180152,23.13611014249828]}"
321_0,15389.585714285715,4369.260869565217,0.19451518,0.27438128,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70514752021347,23.028312308403933]}"
322_0,15336.216216216217,4962.739130434783,0.22362466,0.30544972,0.14798085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43565293497763,23.109160683974693]}"
323_0,15362.472222222223,1842.5217391304348,0.08587032,0.099811986,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.001362849880348]}"
324_0,15321.75,4266.369565217391,0.19515225,0.2577672,0.14707279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,22.86661555726242]}"
325_0,15371.434782608696,2007.9130434782608,0.12934086,0.14800568,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,23.001362849880348]}"
326_0,15395.57142857143,2314.6521739130435,0.112730905,0.14421108,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6602317560075,23.0911943782923]}"
327_0,15395.492753623188,3257.8260869565215,0.15695322,0.1860875,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,23.0911943782923]}"
328_0,15294.013888888889,4196.913043478261,0.20947742,0.26452506,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,22.929497627150788]}"
329_0,15364.808823529413,4642.478260869565,0.23951796,0.29317042,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71413067305467,23.118143836815886]}"
330_0,15367.323529411764,2581.9565217391305,0.10603927,0.119755,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6692149088487,23.001362849880348]}"
331_0,15330.277777777777,1905.9347826086957,0.086303264,0.12067369,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57938338043674,23.046278614086326]}"
332_0,15423.125,3884.4565217391305,0.16877487,0.19702752,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48955185202479,23.118143836815886]}"
333_0,15371.971014492754,4732.913043478261,0.23603694,0.31326124,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72311382589587,23.07322807260991]}"
334_0,15293.222222222223,3849.478260869565,0.18751478,0.2547151,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,22.974413391356762]}"
335_0,15321.661971830987,4280.739130434783,0.20646076,0.30093616,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53446761623077,22.929497627150788]}"
336_0,15356.450704225352,4259.608695652174,0.24212147,0.27537003,0.14509356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.76802959010185,23.03729546124513]}"
337_0,15370.028985507246,4674.760869565217,0.24073215,0.33117077,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71413067305467,23.14509329533947]}"
338_0,15347.685714285713,3372.021739130435,0.1766198,0.17438078,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.54345076907197,23.163059601021864]}"
339_0,15348.916666666666,3813.3695652173915,0.18564828,0.2569967,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4626023935012,23.046278614086326]}"
340_0,15372.75,4124.652173913043,0.18560745,0.23641193,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48056869918359,23.001362849880348]}"
341_0,15375.101449275362,1774.695652173913,0.09304914,0.10812219,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.55243392191316,23.082211225451108]}"
342_0,15354.422535211268,4451.108695652174,0.21849085,0.2523621,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4715855463424,23.07322807260991]}"
343_0,15357.027397260274,4635.152173913043,0.2067246,0.29099983,0.14630277,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.75006328441945,22.992379697039155]}"
344_0,15304.04109589041,4863.586956521739,0.23545429,0.28794166,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.42666978213643,23.07322807260991]}"
345_0,15413.0,1792.108695652174,0.08549531,0.11110467,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6692149088487,23.028312308403933]}"
346_0,15476.616438356165,1653.3695652173913,0.07760622,0.07594833,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.59734968611913,22.974413391356762]}"
347_0,15372.277777777777,3637.717391304348,0.17462607,0.2020665,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.55243392191316,23.13611014249828]}"
348_0,15360.12676056338,4504.260869565217,0.21435468,0.2585122,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.49853500486599,23.13611014249828]}"
349_0,15370.61971830986,4034.1304347826085,0.19515973,0.25481087,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.52548446338957,23.13611014249828]}"
350_0,15285.055555555555,4714.304347826087,0.22510852,0.30570114,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,22.911531321468395]}"
351_0,15390.69014084507,3683.891304347826,0.17573345,0.18504138,0.14555219,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.19000905954545]}"
352_0,15344.315068493152,4282.45652173913,0.19719099,0.27655208,0.14814435,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.67819806168988,22.902548168627202]}"
353_0,15370.985714285714,4207.260869565217,0.19650505,0.27063236,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68718121453108,23.064244919768715]}"
354_0,15356.602739726028,3017.521739130435,0.16040792,0.1525932,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.163059601021864]}"
355_0,15392.628571428571,3023.521739130435,0.15883085,0.17167851,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.65124860316631,23.154076448180668]}"
356_0,15350.281690140846,3952.3695652173915,0.20126474,0.26771653,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60633283896033,22.902548168627202]}"
357_0,15407.828571428572,3045.7608695652175,0.15707432,0.16192889,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70514752021347,23.03729546124513]}"
358_0,15366.779411764706,4249.95652173913,0.1993243,0.21930578,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.73209697873706,23.109160683974693]}"
359_0,15360.814285714287,4197.478260869565,0.18999796,0.23783647,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64226545032511,23.100177531133497]}"
360_0,15378.59420289855,4557.565217391304,0.22215691,0.29086566,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68718121453108,23.109160683974693]}"
361_0,15407.338028169013,3605.717391304348,0.15762748,0.2021272,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.6602317560075,22.974413391356762]}"
362_0,15329.72972972973,3878.3478260869565,0.21291445,0.23787372,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44463608781881,22.98339654419796]}"
363_0,15368.361111111111,4566.782608695652,0.19452767,0.23188286,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.40870347645404,23.03729546124513]}"
364_0,15282.972222222223,4663.739130434783,0.22345947,0.28987095,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51650131054838,22.911531321468395]}"
365_0,15339.931506849314,2632.7391304347825,0.12610224,0.1369972,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.51650131054838,23.07322807260991]}"
366_0,15338.478873239437,4651.391304347826,0.21948218,0.298785,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,23.163059601021864]}"
367_0,15367.95890410959,3894.8695652173915,0.17307942,0.21160026,0.14826828,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48955185202479,23.064244919768715]}"
368_0,15364.957142857143,4774.260869565217,0.22213311,0.3212048,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72311382589587,23.01932915556274]}"
369_0,15358.420289855072,4364.847826086957,0.21971406,0.28318754,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.68718121453108,23.118143836815886]}"
370_0,15368.013888888889,2608.586956521739,0.10604329,0.13939601,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.082211225451108]}"
371_0,15394.814285714287,2002.891304347826,0.11246045,0.14341457,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57040022759554,23.0911943782923]}"
372_0,15421.869565217392,3450.8260869565215,0.13174453,0.15091711,0.14566599,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.67819806168988,23.100177531133497]}"
373_0,15393.35294117647,4485.108695652174,0.22676627,0.3235748,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70514752021347,23.0911943782923]}"
374_0,15320.739726027397,4507.804347826087,0.21298254,0.28616247,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.63328229748392,22.92051447430959]}"
375_0,15349.69014084507,4600.130434782609,0.21678028,0.29834318,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71413067305467,22.947463932833177]}"
376_0,15287.208333333334,4393.173913043478,0.20668042,0.22999069,0.14707279,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48955185202479,22.893565015786006]}"
377_0,15395.632352941177,1433.9347826086957,0.07274535,0.08094227,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.63328229748392,22.992379697039155]}"
378_0,15338.216216216217,3591.6521739130435,0.16982913,0.17036556,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.58836653327793,23.154076448180668]}"
379_0,15344.777777777777,2464.391304347826,0.10123954,0.11473478,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57040022759554,23.001362849880348]}"
380_0,15323.445945945947,4700.478260869565,0.2190053,0.25768876,0.14798085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43565293497763,23.100177531133497]}"
381_0,15345.87323943662,4816.673913043478,0.24492356,0.27328512,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.70514752021347,22.956447085674373]}"
382_0,15312.027027027027,4142.891304347826,0.19911504,0.2520096,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64226545032511,22.875598710103617]}"
383_0,15250.616438356165,5740.521739130435,0.2574916,0.37321183,0.14798085,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.41768662929523,23.13611014249828]}"
384_0,15301.430555555555,4271.869565217391,0.16610643,0.22444983,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61531599180152,23.0911943782923]}"
385_0,15251.194444444445,3943.391304347826,0.21818575,0.34539318,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.4626023935012,22.911531321468395]}"
386_0,15390.915492957747,2562.0652173913045,0.13526763,0.15195677,0.1487653,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.42666978213643,22.902548168627202]}"
387_0,15335.479452054795,4059.1521739130435,0.20150542,0.28306982,0.14913853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.44463608781881,22.956447085674373]}"
388_0,15324.763888888889,4356.086956521739,0.22298688,0.33935314,0.14752541,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.43565293497763,23.001362849880348]}"
389_0,15329.5,4484.45652173913,0.22717752,0.29668662,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.64226545032511,22.902548168627202]}"
390_0,15332.5,4266.54347826087,0.20272774,0.29180327,0.14856058,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.61531599180152,22.857632404421224]}"
391_0,15333.257142857143,4647.521739130435,0.215458,0.30558637,0.14650686,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57040022759554,23.172042753863057]}"
392_0,15354.236111111111,4560.217391304348,0.22591694,0.31380376,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.48056869918359,23.154076448180668]}"
393_0,15334.333333333334,4209.869565217391,0.20469184,0.27991852,0.14678723,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.53446761623077,22.96543023851557]}"
394_0,15394.394366197183,2164.086956521739,0.10275775,0.11873115,0.14744449,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.60633283896033,22.956447085674373]}"
395_0,15346.055555555555,4216.260869565217,0.21861961,0.27434975,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71413067305467,22.956447085674373]}"
396_0,15384.38028169014,3541.5434782608695,0.14460227,0.17233598,0.14833307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.74108013157826,22.98339654419796]}"
397_0,15369.101449275362,4619.217391304348,0.22174202,0.29167148,0.14839832,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72311382589587,23.064244919768715]}"
398_0,15364.142857142857,4449.847826086957,0.22137968,0.29730648,0.1478191,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.50751815770718,23.14509329533947]}"
399_0,15366.583333333334,1966.0217391304348,0.11120985,0.123096995,0.14739543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.57938338043674,23.001362849880348]}"
