system:index,LST_Day_1km,NDVI,NDVI_Landsat,NDVI_Sentinel,date,sm_surface,.geo
2022_07_28_14_0,15121,3853.1304347826085,0.18770193,0.21228038,2022-07-28,0.22926961,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.73662445710512,13.058626729218481]}"
2022_07_28_16_0,15103,3861.8695652173915,0.16687088,0.19269377,2022-07-28,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.6102036323018,13.067619935141078]}"
2022_07_28_17_0,15162,3742.6304347826085,0.15125781,0.16281824,2022-07-28,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.67959235995063,12.905742228534251]}"
2022_07_28_20_0,15127,4819.826086956522,0.2081337,0.23639807,2022-07-28,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.68406192123193,13.067619935141078]}"
2022_07_28_24_0,15015,4007.0,0.18649906,0.17719595,2022-07-28,0.22297361,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.66653338257643,12.833796581153434]}"
2022_07_28_27_0,15078,5826.978260869565,0.2537215,0.3492126,2022-07-28,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54693645401716,13.130572376599297]}"
2022_07_28_35_0,15060,3911.7391304347825,0.19086306,0.18916295,2022-07-28,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5448293926676,13.094599552908889]}"
2022_07_28_36_0,15352,3632.5652173913045,0.16876107,0.16338582,2022-07-28,0.21867813,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.70447745919991,12.896749022611653]}"
2022_07_28_38_0,15050,3545.021739130435,0.15274587,0.19546694,2022-07-28,0.23052773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.61797265816418,13.121579170676698]}"
2022_07_28_42_0,15084,4750.369565217391,0.23712981,0.24460307,2022-07-28,0.22887136,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50716095275686,13.121579170676698]}"
2022_07_28_44_0,15116,4884.04347826087,0.21934687,0.24572529,2022-07-28,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43917211042492,13.022653905528072]}"
2022_07_28_45_0,15043,2851.0434782608695,0.1415618,0.15471826,2022-07-28,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71484965700604,12.959701464069871]}"
2022_07_28_47_0,15029,3236.4347826086955,0.1539192,0.1609319,2022-07-28,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.64102351313932,12.959701464069871]}"
2022_07_28_49_0,15070,3948.086956521739,0.20032339,0.2581218,2022-07-28,0.22931795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57536254364378,13.103592758831487]}"
2022_07_28_50_0,15115,3372.304347826087,0.15338008,0.16278696,2022-07-28,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49659376004021,13.058626729218481]}"
2022_07_28_51_0,15039,5755.152173913043,0.21438222,0.3349598,2022-07-28,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.57763122276349,13.022653905528072]}"
2022_07_28_55_0,15048,2857.6304347826085,0.1375773,0.13128242,2022-07-28,0.23108108,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52866464140232,13.013660699605474]}"
2022_07_28_57_0,14993,4068.8695652173915,0.18172401,0.19162713,2022-07-28,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.71846720897352,12.941715052224659]}"
2022_07_28_61_0,15093,5228.304347826087,0.24777111,0.27021185,2022-07-28,0.22778207,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.43275347389202,13.03164711145067]}"
2022_07_28_64_0,15129,4151.173913043478,0.1858509,0.16990797,2022-07-28,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.74455437556176,12.995674287760263]}"
2022_07_28_67_0,15162,3307.0,0.1543726,0.1386051,2022-07-28,0.22612256,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.72891184321948,13.004667493682877]}"
2022_07_28_68_0,15055,2961.282608695652,0.14487633,0.16522893,2022-07-28,0.222118,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.69559280611973,12.986681081837665]}"
2022_07_28_69_0,15100,4619.304347826087,0.18576808,0.2520924,2022-07-28,0.22992966,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.60946246687733,13.094599552908889]}"
